borough,gss_code,opportunity_index,low_confidence,pct_of_target_pns,demand_gap_per_km2,homes_min_permitted_not_started,data_quality_flag
Kensington and Chelsea,E09000020,86.1,False,130.95982142857144,2250.1507663714283,5867.0,
Camden,E09000007,83.3,False,105.71290944123317,1490.1712234444442,10973.0,
Wandsworth,E09000032,83.3,False,96.64102564102564,1070.173487472973,18845.0,
Lewisham,E09000023,73.6,False,97.83443311337732,498.83234964722226,16309.0,
Barking and Dagenham,E09000002,,False,119.60390946502058,173.33116730818182,23251.0,
Barnet,E09000003,,True,76.38747884940778,285.33567445341464,18058.0,PARTIAL_CAPACITY;
Greenwich,E09000011,,False,65.19121813031161,419.72889003030303,18410.0,
Waltham Forest,E09000031,,False,59.58069620253165,493.3099422892857,7531.0,
Hounslow,E09000018,,False,56.72278338945006,285.5759512258929,10108.0,
Brent,E09000005,,False,49.98279569892473,320.30713731470587,11621.0,
Richmond upon Thames,E09000027,,False,44.96350364963504,589.9983156173913,1848.0,
Croydon,E09000008,,False,40.12506012506012,200.98004017931817,8342.0,
Bexley,E09000004,,False,36.583941605839414,221.18215951964288,2506.0,
Merton,E09000024,,True,32.53812636165577,445.7376299372,2987.0,PARTIAL_CAPACITY;
Islington,E09000019,,False,31.36774193548387,1530.585356130435,2431.0,
Haringey,E09000014,,True,20.816582914572862,514.6847399361111,3314.0,PARTIAL_CAPACITY;
Hackney,E09000012,,True,20.602409638554217,1140.1096649214285,2736.0,PARTIAL_CAPACITY;
Lambeth,E09000022,,False,18.10486891385768,917.2509311257144,2417.0,
Hammersmith & Fulham,E09000013,,False,15.500310752019889,1354.179375728,2494.0,
City of London,E09000001,,True,7.123287671232877,1890.935892,104.0,LOW_SITE_COUNT;
Southwark,E09000028,,True,3.303609341825902,856.7048148787879,778.0,PARTIAL_CAPACITY;
Newham,E09000025,,False,2.698170731707317,397.80887018378377,885.0,
Redbridge,E09000026,,False,0.0,315.48357388806454,0.0,
Westminster,E09000033,,False,0.0,1795.196836975,0.0,
Bromley,E09000006,,,,228.1061782703077,,NO_CAPACITY_PUBLISHED;
Ealing,E09000009,,,,382.94540960205126,,NO_CAPACITY_PUBLISHED;
Enfield,E09000010,,,,201.02662033888888,,NO_CAPACITY_PUBLISHED;
Harrow,E09000015,,,,185.65914959333335,,NO_CAPACITY_PUBLISHED;
Havering,E09000016,,,,219.5956106433,,NO_CAPACITY_PUBLISHED;
Hillingdon,E09000017,,,,129.22466067375,,NO_CAPACITY_PUBLISHED;
Kingston upon Thames,E09000021,,,,389.742304251,,NO_CAPACITY_PUBLISHED;
Sutton,E09000029,,,,250.85378512833333,,PARTIAL_CAPACITY;
Tower Hamlets,E09000030,,,,1184.9666534,,NO_CAPACITY_PUBLISHED;
