gss_code,sites_total,hectares_total,homes_min_total,homes_max_total,homes_reported_total,sites_permitted_not_started,hectares_permitted_not_started,homes_min_permitted_not_started,homes_max_permitted_not_started,homes_reported_permitted_not_started,sites_unpermissioned,hectares_unpermissioned,homes_min_unpermissioned,homes_max_unpermissioned,homes_reported_unpermissioned,sites_pns_deliverable,hectares_pns_deliverable,homes_min_pns_deliverable,homes_max_pns_deliverable,homes_reported_pns_deliverable,pct_sites_with_homes,borough,ten_year_target,source,pct_hectares_public,median_permission_age_years,permissions_dated,demand_gap_per_km2,demand_gap_per_km2_median,demand_gap_total,tightness_mean,tightness_median,msoas,msoas_surplus,pct_of_target_pns,pct_of_target_unpermissioned,pct_of_target_total,homes_capacity_reported,data_quality_flag
E09000020,74,72.969345,13905.0,14531.0,74.0,47,34.205808000000005,5867.0,6298.0,47.0,26.0,38.461684,7983.0,8178.0,26.0,45.0,27.198261000000002,4682.0,5113.0,45.0,100.0,Kensington and Chelsea,4480,London Plan 2021 Table 4.1,7.239274245917929,9.45927446954141,47.0,2250.1507663714283,2215.021507,26967.9226555,8.014333046761905,8.06392792,21,0,130.95982142857144,178.19196428571428,310.3794642857143,True,
E09000002,86,614.69,40172.0,59639.0,59.0,35,436.16,23251.0,33211.0,24.0,45.0,150.05,14168.0,22156.0,32.0,14.0,234.77,22933.0,32893.0,14.0,68.6046511627907,Barking and Dagenham,19440,London Plan 2021 Table 4.1,7.789292163529585,6.049281314168377,22.0,173.33116730818182,175.73497735,6166.12257381,2.0639962534545457,2.1172653109999997,22,0,119.60390946502058,72.88065843621399,206.64609053497944,True,
E09000007,151,61.24831,12798.0,13647.0,151.0,138,39.58831,10973.0,10972.0,138.0,13.0,21.66,1825.0,2675.0,13.0,130.0,38.4589,10870.0,10869.0,130.0,100.0,Camden,10380,London Plan 2021 Table 4.1,18.23723789276798,8.528405201916495,138.0,1490.1712234444442,1350.624249,29616.449667200002,5.658872750148148,5.333806378,27,0,105.71290944123315,17.58188824662813,123.29479768786126,True,
E09000023,240,143.3,27491.0,29587.0,237.0,171,89.68,16309.0,16388.0,171.0,62.0,42.01,7092.0,9109.0,60.0,171.0,89.68,16309.0,16388.0,171.0,98.75,Lewisham,16670,London Plan 2021 Table 4.1,5.889741800418701,5.122518822724161,171.0,498.83234964722226,521.79372,16502.6659852,3.0434983702222222,3.0569216375,36,0,97.83443311337733,42.54349130173965,164.9130173965207,True,
E09000032,189,252.54399999999998,28843.0,29827.0,189.0,123,191.654,18845.0,19639.0,123.0,62.0,57.4,9456.0,9457.0,62.0,122.0,179.204,18030.0,18571.0,122.0,100.0,Wandsworth,19500,London Plan 2021 Table 4.1,14.11001647237709,3.9342915811088295,123.0,1070.173487472973,1062.705811,33291.7307021,4.93723958481081,4.897077034,37,0,96.64102564102565,48.49230769230769,147.9128205128205,True,
E09000003,240,553.562399,18058.0,18058.0,104.0,225,518.6573989999999,18058.0,18058.0,104.0,15.0,34.905,,,0.0,196.0,486.520399,18058.0,18058.0,104.0,43.333333333333336,Barnet,23640,London Plan 2021 Table 4.1,2.9785260035337044,9.374401095140314,196.0,285.33567445341464,275.2299721,20650.5965863,2.3147863389512198,2.300005979,41,0,76.38747884940778,,76.38747884940778,True,PARTIAL_CAPACITY;
E09000011,94,129.38,20988.0,20988.0,92.0,83,118.47,18410.0,18410.0,81.0,7.0,7.46,1231.0,1231.0,7.0,83.0,118.47,18410.0,18410.0,81.0,97.87234042553192,Greenwich,28240,London Plan 2021 Table 4.1,5.418148090895038,9.229295003422314,83.0,419.72889003030303,332.9961141,18276.8379849,2.9408050703636364,2.691226935,33,0,65.19121813031161,4.359065155807365,74.32011331444758,True,
E09000031,183,126.75520399999999,17687.0,17687.0,156.0,48,37.421153,7531.0,7531.0,29.0,132.0,64.70405099999999,7597.0,7597.0,124.0,48.0,37.421153,7531.0,7531.0,29.0,85.24590163934425,Waltham Forest,12640,London Plan 2021 Table 4.1,42.14185951686844,8.924024640657084,34.0,493.3099422892857,509.6788084,17225.8798311,3.2764909197857146,3.208871637,28,0,59.58069620253165,60.10284810126583,139.92879746835442,True,
E09000018,173,64.42999999999999,10352.0,10363.0,173.0,133,61.5,10108.0,10118.0,133.0,37.0,2.69,230.0,231.0,37.0,104.0,28.259999999999998,3122.0,3122.0,104.0,100.0,Hounslow,17820,London Plan 2021 Table 4.1,46.701846965699204,6.0862422997946615,133.0,285.5759512258929,153.149649,12479.81841924,2.33044698575,1.853275339,28,0,56.72278338945006,1.2906846240179575,58.09203142536475,True,
E09000005,213,218.207026,26969.0,27010.0,184.0,114,61.107,11621.0,11636.0,114.0,66.0,140.41,13410.0,13436.0,63.0,105.0,60.347,11569.0,11572.0,105.0,86.3849765258216,Brent,23250,London Plan 2021 Table 4.1,6.915451017603804,6.922655715263518,114.0,320.30713731470587,223.7709398,11663.7177655,2.2727322640882353,2.0076426495,34,0,49.98279569892473,57.67741935483871,115.99569892473119,True,
E09000027,57,30.291,2357.0,2446.0,57.0,35,12.456,1848.0,1848.0,35.0,22.0,17.835,509.0,598.0,22.0,35.0,12.456,1848.0,1848.0,35.0,100.0,Richmond upon Thames,4110,London Plan 2021 Table 4.1,4.912350203030603,2.8802190280629705,35.0,589.9983156173913,592.1144041,29220.9037667,3.930088002130435,3.853481301,23,0,44.96350364963504,12.384428223844282,57.34793187347932,True,
E09000008,495,172.79971,18232.0,33044.0,494.0,343,54.6,8342.0,8342.0,343.0,152.0,118.19971,9890.0,24702.0,151.0,343.0,54.6,8342.0,8342.0,343.0,99.79797979797979,Croydon,20790,London Plan 2021 Table 4.1,17.547249355916165,8.208076659822039,343.0,200.98004017931817,171.24125575,14415.24762665,2.0249430731590907,1.9508894695,44,0,40.12506012506012,47.57094757094757,87.6960076960077,True,
E09000004,108,83.771,7101.0,7385.0,86.0,72,37.841,2506.0,2790.0,53.0,36.0,45.93,4595.0,4595.0,33.0,72.0,37.841,2506.0,2790.0,53.0,79.62962962962963,Bexley,6850,London Plan 2021 Table 4.1,7.65181267980566,6.086242299794661,72.0,221.18215951964288,243.2824903,12608.4101759,2.3819196044285715,2.4674026834999996,28,0,36.583941605839414,67.08029197080292,103.66423357664235,True,
E09000024,277,115.276026,6141.0,6141.0,115.0,220,73.660844,2987.0,2987.0,90.0,45.0,29.285182,3154.0,3154.0,25.0,153.0,62.520844,2987.0,2987.0,90.0,41.51624548736462,Merton,9180,London Plan 2021 Table 4.1,3.53374863911426,7.162217659137577,219.0,445.7376299372,478.4863159,16029.77542837,2.98815171844,3.07530848,25,0,32.53812636165577,34.35729847494554,66.89542483660131,True,PARTIAL_CAPACITY;
