entity,borough,gss_code,reference,name,site-address,hectares,minimum-net-dwellings,maximum-net-dwellings,permission_status,permitted_not_started,is_started,planning-permission-type,permission_date,deliverable_yes,public_owned,lat,lon,site-plan-url,planning-permission-history,flag_min_gt_max,entry-date
1700298,Richmond upon Thames,E09000027,RBR/17/0023,RBR/17/0023,"Police Station, 60-68 Station Road, Hampton",0.26,28.0,28.0,permissioned,True,False,full-planning-permission,2017-09-05,True,False,51.415237,-0.365421,https://maps.london.gov.uk/brownfield-site-register,http://www2.richmond.gov.uk/PlanData2/Planning_CaseNo.aspx?strCASENO=16/0606/FUL,False,2017-12-13
1700299,Richmond upon Thames,E09000027,RBR/17/0024,RBR/17/0024,275 Sandycombe Road Richmond TW9 3LU,0.05,6.0,6.0,permissioned,True,False,full-planning-permission,2017-02-23,True,False,51.474203,-0.286291,https://maps.london.gov.uk/brownfield-site-register,http://www2.richmond.gov.uk/PlanData2/Planning_CaseNo.aspx?strCASENO=16/0905/FUL,False,2017-12-13
1700305,Richmond upon Thames,E09000027,RBR/17/0030,RBR/17/0030,"Mereway Day Centre, Mereway Road",0.227,7.0,7.0,permissioned,True,False,full-planning-permission,2024-02-01,True,False,51.446845,-0.346037,"https://www.planning.data.gov.uk/map/?dataset=brownfield-land#51.4468,-0.346037,17z",https://planning.richmond.gov.uk/richmond/application-details/?ref=23/0260/FUL,False,2024-09-01
1700306,Richmond upon Thames,E09000027,RBR/17/0031,RBR/17/0031,"Telephone Exchange, Ashdale Road",0.42,17.0,20.0,not-permissioned,False,False,,,True,False,51.452128,-0.359944,https://maps.london.gov.uk/brownfield-site-register,,False,2017-12-13
1700309,Richmond upon Thames,E09000027,RBR/17/0034,RBR/17/0034,"Cassel Hospital, Ham Common, Ham",3.98,17.0,20.0,not-permissioned,False,False,,,True,False,51.432431,-0.30906,https://maps.london.gov.uk/brownfield-site-register,,False,2017-12-13
1700311,Richmond upon Thames,E09000027,RBR/17/0036,RBR/17/0036,"Richmond Station and above track, The Quadrant",1.96,17.0,20.0,not-permissioned,False,False,,,True,False,51.463203,-0.300926,https://maps.london.gov.uk/brownfield-site-register,,False,2017-12-13
1700312,Richmond upon Thames,E09000027,RBR/17/0037,RBR/17/0037,Platts Eyott,3.77,17.0,20.0,not-permissioned,False,False,,,True,False,51.409666,-0.371558,https://maps.london.gov.uk/brownfield-site-register,,False,2017-12-13
1700313,Richmond upon Thames,E09000027,RBR/17/0038,RBR/17/0038,Friars Lane Car Park,0.15,17.0,20.0,not-permissioned,False,False,,,True,False,51.459575,-0.308748,https://maps.london.gov.uk/brownfield-site-register,,False,2017-12-13
1700314,Richmond upon Thames,E09000027,RBR/17/0039,RBR/17/0039,"Sainsburys, Manor Road/Lower Richmond Road",2.64,222.0,255.0,not-permissioned,False,False,,,True,False,51.466822,-0.286985,https://maps.london.gov.uk/brownfield-site-register,,False,2017-12-13
1700315,Richmond upon Thames,E09000027,RBR/17/0040,RBR/17/0040,"Budweiser Stag Brewery, Mortlake",6.683,1068.0,1068.0,permissioned,True,False,other,2025-05-02,True,False,51.470163,-0.26797,"https://www.planning.data.gov.uk/map/?dataset=brownfield-land#51.4702,-0.26797,17z",https://planning.richmond.gov.uk/richmond/application-details/?ref=22/0900/OUT,False,2025-12-15
