dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,brownfield-land,deliverable,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-address,site-categories,site-plan-url,entity_la,borough,gss_code,reject_reason
brownfield-land,2018-08-31,1700281,2017-12-13,,,RBR/17/0001,266,POINT(-0.346989 51.441514),brownfield-land,authoritative,RBR/17/0001,2017-12-13,geography,,yes,,0.029,9,9,,,not-owned-by-a-public-authority,2009-12-11,https://planning.richmond.gov.uk/richmond/application-details/?ref=08/0225/FUL,permissioned,full-planning-permission,,Pouparts Yard And Land Rear Of 84A Hampton Road Twickenham,,"https://www.planning.data.gov.uk/map/?dataset=brownfield-land#51.4415,-0.346989,17z",266,Richmond upon Thames,E09000027,archived (end-date populated)
brownfield-land,2011-10-01,1700282,2019-12-11,,,RBR/17/0002,266,POINT(-0.237968 51.486911),brownfield-land,authoritative,RBR/17/0002,2017-12-13,geography,,yes,,17.98,18,18,,,owned-by-a-public-authority,2017-06-30,http://www2.richmond.gov.uk/PlanData2/Planning_CaseNo.aspx?strCASENO=08/1760/EXT,permissioned,outline-planning-permission,,"St Paul's School, Lonsdale Road, Barnes",,https://maps.london.gov.uk/brownfield-sites/,266,Richmond upon Thames,E09000027,archived (end-date populated)
brownfield-land,2018-07-31,1700283,2017-12-13,,,RBR/17/0006,266,POINT(-0.334528 51.452894),brownfield-land,authoritative,RBR/17/0006,2017-12-13,geography,,yes,,0.03,9,9,,,unknown-ownership,2014-10-20,http://www2.richmond.gov.uk/PlanData2/Planning_CaseNo.aspx?strCASENO=10/1864/FUL,permissioned,full-planning-permission,,84 Whitton Road Twickenham TW1 1BS,,https://maps.london.gov.uk/brownfield-site-register,266,Richmond upon Thames,E09000027,archived (end-date populated)
brownfield-land,2011-03-07,1700284,2017-12-13,,,RBR/17/0007,266,POINT(-0.309589 51.413429),brownfield-land,authoritative,RBR/17/0007,2017-12-13,geography,,yes,,0.2,11,11,,,unknown-ownership,2011-03-07,http://www2.richmond.gov.uk/PlanData2/Planning_CaseNo.aspx?strCASENO=11/0468/PS192,permissioned,full-planning-permission,,Becketts Wharf And Osbourne House Becketts Place Hampton Wick,,https://maps.london.gov.uk/brownfield-site-register,266,Richmond upon Thames,E09000027,archived (end-date populated)
brownfield-land,2015-03-14,1700285,2017-12-13,,,RBR/17/0008,266,POINT(-0.329289 51.450526),brownfield-land,authoritative,RBR/17/0008,2017-12-13,geography,,yes,,1.18,115,115,,,unknown-ownership,2012-03-30,http://www2.richmond.gov.uk/PlanData2/Planning_CaseNo.aspx?strCASENO=11/1443/FUL,permissioned,full-planning-permission,,Twickenham Railway Station London Road Twickenham,,https://maps.london.gov.uk/brownfield-site-register,266,Richmond upon Thames,E09000027,archived (end-date populated)
brownfield-land,2018-04-02,1700286,2017-12-13,,,RBR/17/0009,266,POINT(-0.330361 51.447961),brownfield-land,authoritative,RBR/17/0009,2017-12-13,geography,,yes,,0.01,7,7,,,unknown-ownership,2012-03-30,http://www2.richmond.gov.uk/PlanData2/Planning_CaseNo.aspx?strCASENO=11/3248/FUL,permissioned,full-planning-permission,,37 Grosvenor Road Twickenham TW1 4AD,,https://maps.london.gov.uk/brownfield-site-register,266,Richmond upon Thames,E09000027,archived (end-date populated)
brownfield-land,2023-06-09,1700287,2020-12-13,,,RBR/17/0011,266,POINT(-0.341648 51.447691),brownfield-land,authoritative,RBR/17/0011,2017-12-13,geography,,yes,,0.02,15,15,,,not-owned-by-a-public-authority,2020-06-19,https://planning.richmond.gov.uk/richmond/application-details/?ref=19/2789/FUL,permissioned,full-planning-permission,,Lockcorp House 75 Norcutt Road Twickenham TW2 6SR,,"https://www.planning.data.gov.uk/map/?dataset=brownfield-land#51.4477,-0.341648,17z",266,Richmond upon Thames,E09000027,archived (end-date populated)
brownfield-land,2016-05-02,1700288,2017-12-13,,,RBR/17/0012,266,POINT(-0.296546 51.428),brownfield-land,authoritative,RBR/17/0012,2017-12-13,geography,,yes,,2.53,42,42,,,owned-by-a-public-authority,2015-01-05,http://www2.richmond.gov.uk/PlanData2/Planning_CaseNo.aspx?strCASENO=14/0451/FUL,permissioned,full-planning-permission,,HMP Latchmere House Church Road Ham Richmond TW10 5HH,,https://maps.london.gov.uk/brownfield-sites/,266,Richmond upon Thames,E09000027,archived (end-date populated)
brownfield-land,2018-08-14,1700289,2017-12-13,,,RBR/17/0014,266,POINT(-0.253685 51.470539),brownfield-land,authoritative,RBR/17/0014,2017-12-13,geography,,yes,,0.1,5,5,,,not-owned-by-a-public-authority,2014-12-18,http://www2.richmond.gov.uk/PlanData2/Planning_CaseNo.aspx?strCASENO=14/2490/FUL,permissioned,full-planning-permission,,29 Charles Street Barnes London,,https://maps.london.gov.uk/brownfield-sites/,266,Richmond upon Thames,E09000027,archived (end-date populated)
brownfield-land,2018-04-04,1700290,2017-12-13,,,RBR/17/0015,266,POINT(-0.339627 51.425996),brownfield-land,authoritative,RBR/17/0015,2017-12-13,geography,,yes,,0.009,5,5,,,not-owned-by-a-public-authority,2015-04-20,https://planning.richmond.gov.uk/richmond/application-details/?ref=14/3011/FUL,permissioned,full-planning-permission,,2 Broad Street Teddington TW11 8RF,,"https://www.planning.data.gov.uk/map/?dataset=brownfield-land#51.426,-0.339627,17z",266,Richmond upon Thames,E09000027,archived (end-date populated)
