borough,sites,hectares,dwellings_max,dwellings_min
Southwark,791,383.980674,9362.0,8393.0
Croydon,495,172.79971,33044.0,18232.0
City of Westminster,280,99.090677,0.0,0.0
Merton,277,115.276026,6141.0,6141.0
Haringey,277,182.362,16032.0,15902.0
Lewisham,240,143.3,29587.0,27491.0
Barnet,240,553.562399,18058.0,18058.0
Brent,213,218.207026,27010.0,26969.0
Hillingdon,203,180.209,0.0,0.0
Wandsworth,189,252.54399999999998,29827.0,28843.0
Redbridge,188,128.11,0.0,0.0
Waltham Forest,183,126.75520399999999,17687.0,17687.0
Hounslow,173,64.42999999999999,10363.0,10352.0
Camden,151,61.24831,13647.0,12798.0
Havering,114,104.1,0.0,0.0
Bexley,108,83.771,7385.0,7101.0
Sutton,103,47.99,6431.0,2850.0
Harrow,102,102.483271,0.0,0.0
Newham,96,11.537908,2290.0,1520.0
Greenwich,94,129.38,20988.0,20988.0
Bromley,88,52.165,0.0,0.0
Barking and Dagenham,86,614.69,59639.0,40172.0
Islington,77,82.09,7995.0,7995.0
Kensington and Chelsea,74,72.969345,14531.0,13905.0
Ealing,70,111.69,0.0,0.0
Richmond upon Thames,57,30.291,2446.0,2357.0
Lambeth,51,15.620000000000001,2987.0,2987.0
Kingston upon Thames,49,64.135,0.0,0.0
Hackney,38,6.909,3222.0,3212.0
Enfield,27,49.815000000000005,0.0,0.0
Tower Hamlets,26,95.99,0.0,0.0
Hammersmith & Fulham,23,24.322,5188.0,5188.0
City of London Corporation,2,0.22,104.0,104.0
