borough,gss_code,ten_year_target,source
Barking and Dagenham,E09000002,19440,London Plan 2021 Table 4.1
Barnet,E09000003,23640,London Plan 2021 Table 4.1
Bexley,E09000004,6850,London Plan 2021 Table 4.1
Brent,E09000005,23250,London Plan 2021 Table 4.1
Bromley,E09000006,7740,London Plan 2021 Table 4.1
Camden,E09000007,10380,London Plan 2021 Table 4.1
City of London,E09000001,1460,London Plan 2021 Table 4.1
Croydon,E09000008,20790,London Plan 2021 Table 4.1
Ealing,E09000009,21570,London Plan 2021 Table 4.1
Enfield,E09000010,12460,London Plan 2021 Table 4.1
Greenwich,E09000011,28240,London Plan 2021 Table 4.1
Hackney,E09000012,13280,London Plan 2021 Table 4.1
Hammersmith & Fulham,E09000013,16090,London Plan 2021 Table 4.1
Haringey,E09000014,15920,London Plan 2021 Table 4.1
Harrow,E09000015,8020,London Plan 2021 Table 4.1
Havering,E09000016,12850,London Plan 2021 Table 4.1
Hillingdon,E09000017,10830,London Plan 2021 Table 4.1
Hounslow,E09000018,17820,London Plan 2021 Table 4.1
Islington,E09000019,7750,London Plan 2021 Table 4.1
Kensington and Chelsea,E09000020,4480,London Plan 2021 Table 4.1
Kingston upon Thames,E09000021,9640,London Plan 2021 Table 4.1
Lambeth,E09000022,13350,London Plan 2021 Table 4.1
Lewisham,E09000023,16670,London Plan 2021 Table 4.1
Merton,E09000024,9180,London Plan 2021 Table 4.1
Newham,E09000025,32800,London Plan 2021 Table 4.1
Redbridge,E09000026,14090,London Plan 2021 Table 4.1
Richmond upon Thames,E09000027,4110,London Plan 2021 Table 4.1
Southwark,E09000028,23550,London Plan 2021 Table 4.1
Sutton,E09000029,4690,London Plan 2021 Table 4.1
Tower Hamlets,E09000030,34730,London Plan 2021 Table 4.1
Waltham Forest,E09000031,12640,London Plan 2021 Table 4.1
Wandsworth,E09000032,19500,London Plan 2021 Table 4.1
Westminster,E09000033,9850,London Plan 2021 Table 4.1
